week_start,n_comments,mean_compound,median_compound,std_compound,aspect
2024-02-26,19,0.26336315789473685,0.3182,0.36821385424253167,Norris
2024-03-04,30,0.11570666666666667,0.1449,0.436209530428648,Norris
2024-03-11,9,0.2470555555555555,0.0,0.6157336337880024,Norris
2024-03-18,11,0.03944545454545454,0.0,0.6494833398381152,Norris
2024-04-15,43,0.1928581395348837,0.2605,0.581010585196812,Norris
2024-04-29,392,0.2753479591836735,0.3506,0.47078111403918693,Norris
2024-05-06,78,0.2597320512820513,0.29510000000000003,0.493223517859564,Norris
2024-05-13,119,0.27777563025210084,0.3612,0.4966945222859611,Norris
2024-05-20,32,0.382,0.52905,0.5550106282039605,Norris
2024-05-27,26,0.10705,0.0,0.48438767387290116,Norris
2024-06-03,91,0.278854945054945,0.4019,0.48599056649823436,Norris
2024-06-10,18,0.47933888888888887,0.67235,0.4785001839558179,Norris
2024-06-17,208,0.1554125,0.20465,0.5096063135586534,Norris
2024-06-24,390,0.007862820512820515,0.0,0.5236758502852437,Norris
2024-07-01,238,0.04222983193277311,0.0,0.5531112990224487,Norris
2024-07-08,1,0.926,0.926,,Norris
2024-07-15,651,0.10396021505376345,0.0516,0.5124977160768168,Norris
2024-07-22,168,0.17481190476190478,0.19515,0.5641904092957096,Norris
2024-07-29,54,0.28700740740740743,0.4404,0.5376658360588383,Norris
2024-08-19,182,0.18637692307692308,0.008,0.5004409072752328,Norris
2024-08-26,560,0.24455267857142857,0.33405,0.5116038084732493,Norris
2024-09-02,463,0.2854930885529158,0.4215,0.5565669632525482,Norris
2024-09-09,194,0.32440309278350515,0.36495,0.4857817368379625,Norris
2024-09-16,103,0.10201747572815534,0.0,0.46554314861354856,Norris
2024-09-23,150,0.13096533333333332,0.051500000000000004,0.5365033563805602,Norris
2024-10-14,499,-0.08683026052104208,-0.0516,0.5298481285646922,Norris
2024-10-21,532,0.0006697368421052648,0.0,0.5458660725123712,Norris
2024-10-28,1214,0.15148822075782536,0.1065,0.519851611304031,Norris
2024-11-04,394,0.2539515228426396,0.34,0.5802324686884744,Norris
2024-11-18,16,0.28985625,0.45625,0.5191125002909613,Norris
2024-11-25,133,-0.16007518796992481,-0.0258,0.5144538375506672,Norris
2024-12-02,118,0.22094830508474575,0.3182,0.5012392718519524,Norris
